,NameSpe,Price,OldP,Discount,RatNo,oldP
0,"Tecno  POP 3, 5.7"", 16GB + 1GB, Dual Sim, Black","KSh 7,047","KSh 12,500",44%,3.8 out of 5(31),
1,"Ulefone Note 7, 6.1"", 1GB + 16GB, 3500mAh, (Dual SIM) - Black","KSh 5,499","KSh 6,499",15%,4.1 out of 5(970),
2,UMIDIGI A7-4GB+64GB-6.49''-Android 10-16MP+8MP+5MP+5MP-16MP-4150 MAh-Triple Slots-Grey,"KSh 10,500","KSh 10,600",1%,4.5 out of 5(14),
3,"Ulefone Note 7 Pro, 6.1"" HD, 3GB +32GB (Dual SIM) - Black","KSh 7,499","KSh 11,499",35%,4.3 out of 5(732),
4,"Ulefone Note 7, 6.1 Inches, 1GB + 16GB (Dual SIM) - Twilight","KSh 5,499","KSh 6,499",15%,4.2 out of 5(852),
5,Itel It 2160 - Dual SIM - Dark Blue,KSh 929,KSh 930,1%,4.5 out of 5(114),
6,"Cubot P30, 6.3 Inch, 4 GB + 64 GB, (Dual SIM)  Triple Camera- Green","KSh 11,200","KSh 19,999",44%,4.1 out of 5(230),
7,"Samsung Galaxy A21s - 6.5"" - 64GB ROM + 4GB RAM - Dual SIM - Black","KSh 18,130","KSh 28,000",35%,4.8 out of 5(23),
8,"Tecno Camon 15, 6.6"", 64GB + 4GB (Dual SIM), 48MP ,5000mAH - Purple +OTG &Selfie Stick","KSh 15,999","KSh 20,000",20%,4.6 out of 5(48),
9,"Cubot P40, 6.2"", 4GB + 128GB, (Dual SIM) Quad Camera Android 10 NFC 20MP Selfie- Black","KSh 13,090","KSh 13,750",5%,4.2 out of 5(16),
10,"Ulefone Note 7 Pro, 6.1"", 3 GB + 32 GB, (Dual SIM), Twilight","KSh 8,299","KSh 8,499",2%,4.1 out of 5(908),
11,"Tecno POP 3, 5.7"", 1GB + 16GB, 3500mAh, Dual Sim - Black + FREE Cover &  OTG Cable","KSh 7,049","KSh 10,500",33%,3.9 out of 5(154),
12,"Ulefone Note 8P, 5.5"", 16GB + 2GB RAM (Dual SIM), 2700mAh, Midnight Green","KSh 6,499","KSh 6,999",7%,4.1 out of 5(32),
13,"Safaricom Neon Ray LTE,5""Display 1GBRam + 8GBRom + Selfie Stick+Otg+Ring - Black","KSh 3,999","KSh 4,500",11%,3.6 out of 5(18),
14,"Tecno Pop 4, 6.0"", 2GB+32GB, 3G (Dual SIM) 5000MAh-Green","KSh 8,830","KSh 12,000",26%,4 out of 5(9),
15,"Tecno F1 - 5"" - 8GB+1GB RAM - 2000mAh - Dual SIM - Black","KSh 5,079","KSh 9,999",49%,4.2 out of 5(86),
16,"Ulefone Note 7 - 6.1""- 1GB+16GB - 8MP+2MP+2MP - DUAL SIM - Green","KSh 5,499","KSh 6,499",15%,4.2 out of 5(291),
17,"Oppo A5s, 6.2"", 32GB + 3GB  (Dual SIM) 4G, Blue","KSh 14,988","KSh 20,999",29%,4.7 out of 5(22),
18,Generic Phone Camera HD Lens Universal Clip-on 12X Zoom Cell Phone,KSh 252,KSh 459,45%,1 out of 5(3),
19,"Kxd A1, 5.7inch, 1GB+ 16GB, 8MP+0.3MP+5MP Selfie,Android 8.1, Dual Sim.","KSh 5,240","KSh 7,500",30%,4.2 out of 5(44),
20,"Tecno POP 3, 5.7"", 16GBROM,1GBRAM, 3500mAh, Dual Sim - Black","KSh 6,999","KSh 12,999",46%,4.1 out of 5(34),
21,"Tecno F1, 5.0'', 8 GB + 1 GB, (Dual SIM), - Elegant Black, & FREE Cover + OTG Cable","KSh 5,377","KSh 8,000",33%,3.9 out of 5(54),
22,"Cubot P30, 6.3"", 4GB + 64GB, 12MP+20MP+8MP+13MP, (Dual SIM), Black","KSh 9,900","KSh 19,412",49%,4.1 out of 5(264),
23,"Ulefone Note 7 Pro, 6.1"", 3 GB + 32 GB, (Dual SIM) -  Green ","KSh 8,299","KSh 8,499",2%,4.3 out of 5(39),
